algoritmo,perda,conjunto,h,periodo,n,MAE,R2,vies_pico
hist_gradient_boosting,quantil_0.70,M1_com_vetor,8,calibracao,186,39.3012300683232,0.5229782741817945,-180.94444256018946
hist_gradient_boosting,quantil_0.70,M1_com_vetor,12,avaliacao,102,181.26487570544086,0.7481860379661789,-428.6034331012088
hist_gradient_boosting,quantil_0.70,M1_com_vetor,12,calibracao,182,40.14771253614988,0.5803592973464806,-215.13346932161843
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,1,avaliacao,109,116.08207907602252,0.8727597486993036,-52.483401296150404
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,1,calibracao,198,24.785818062007166,0.795846639684707,-8.482112927705526
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,4,avaliacao,109,188.62276318569684,0.7210658291260503,-136.1755779622496
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,4,calibracao,195,34.200145008243624,0.7279161994099648,-86.1357009343464
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,8,avaliacao,109,175.52974753082475,0.7468399414646812,-361.7994166706905
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,8,calibracao,191,45.31262612367474,0.46202477651920837,-183.84753640020125
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,12,avaliacao,109,202.27732895907673,0.6809437992405101,-469.5375902824971
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,12,calibracao,187,48.460754222446994,0.38435974118733207,-243.17206303713166
hist_gradient_boosting,quantil_0.80,M1_com_vetor,1,avaliacao,102,101.2661968809794,0.8830479899684321,-181.05771475614085
hist_gradient_boosting,quantil_0.80,M1_com_vetor,1,calibracao,193,23.59858191510937,0.8101474709993597,-3.700459899973323
hist_gradient_boosting,quantil_0.80,M1_com_vetor,4,avaliacao,102,168.39821130849361,0.7789908860892397,-204.95738992151655
hist_gradient_boosting,quantil_0.80,M1_com_vetor,4,calibracao,190,35.34784197630038,0.6915750074726632,-70.86351909575535
hist_gradient_boosting,quantil_0.80,M1_com_vetor,8,avaliacao,102,184.03992502019227,0.7235965873168796,-413.7541540177743
hist_gradient_boosting,quantil_0.80,M1_com_vetor,8,calibracao,186,36.57385322237899,0.628942097772444,-153.4047934853449
hist_gradient_boosting,quantil_0.80,M1_com_vetor,12,avaliacao,102,179.64827228184186,0.7579247350404885,-418.86364071590674
hist_gradient_boosting,quantil_0.80,M1_com_vetor,12,calibracao,182,37.218305248591335,0.6667726958371215,-185.39471073931475
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,1,avaliacao,109,118.09064456206104,0.8736629800079801,-21.55149675648841
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,1,calibracao,198,22.81932838631446,0.8271717477908109,14.764884642230358
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,4,avaliacao,109,185.84431765950265,0.739196327875949,-86.01390996078571
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,4,calibracao,195,39.313748125980965,0.6535358551992494,-32.084906952645305
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,8,avaliacao,109,172.75244860548673,0.7788343651186533,-325.6290837197145
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,8,calibracao,191,44.16163225017491,0.543474338490933,-159.74493745448012
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,12,avaliacao,109,189.6539661991454,0.7279649293560494,-420.5897975952791
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,12,calibracao,187,45.658725803873594,0.4429401771653688,-206.6477390604548
hist_gradient_boosting,quantil_0.85,M1_com_vetor,1,avaliacao,102,97.98708193004315,0.8979137481774447,-137.10185575395712
hist_gradient_boosting,quantil_0.85,M1_com_vetor,1,calibracao,193,22.33622241214052,0.8414917452867192,7.6679015972020235
hist_gradient_boosting,quantil_0.85,M1_com_vetor,4,avaliacao,102,168.70657870245495,0.7720624486520601,-177.0441488870895
hist_gradient_boosting,quantil_0.85,M1_com_vetor,4,calibracao,190,33.12311926624571,0.7282383765841819,-55.93834926606749
hist_gradient_boosting,quantil_0.85,M1_com_vetor,8,avaliacao,102,178.34769275839315,0.7615653263461477,-359.28692052978096
hist_gradient_boosting,quantil_0.85,M1_com_vetor,8,calibracao,186,40.064707095605236,0.5797335580231355,-128.00672044879394
hist_gradient_boosting,quantil_0.85,M1_com_vetor,12,avaliacao,102,184.1987715847604,0.7417377192677149,-400.5657451475444
hist_gradient_boosting,quantil_0.85,M1_com_vetor,12,calibracao,182,39.8767506241985,0.6195033808762532,-191.05584806164342
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,1,avaliacao,109,126.94924929669565,0.8555004640177372,32.345493429507734
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,1,calibracao,198,26.158062785722734,0.7980386142812894,46.785837803259895
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,4,avaliacao,109,189.67101772657347,0.7179798192361169,-25.735965236484578
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,4,calibracao,195,42.6444853056736,0.5933327809550433,-29.053904506672247
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,8,avaliacao,109,185.84904708778723,0.7430317090189478,-317.1379891910002
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,8,calibracao,191,44.55570370011144,0.5248739271302845,-157.49458794753735
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,12,avaliacao,109,201.57011579415317,0.7001529820234549,-384.53395551595236
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,12,calibracao,187,47.020749219487776,0.4210244640507097,-197.88358669589107
hist_gradient_boosting,quantil_0.90,M1_com_vetor,1,avaliacao,102,107.34653484310009,0.8923264598064131,-109.46584994203963
hist_gradient_boosting,quantil_0.90,M1_com_vetor,1,calibracao,193,26.602393745110813,0.801982936211374,44.1958976401497
hist_gradient_boosting,quantil_0.90,M1_com_vetor,4,avaliacao,102,174.86300523918317,0.7578168762335536,-151.7309932888107
hist_gradient_boosting,quantil_0.90,M1_com_vetor,4,calibracao,190,37.986107523083746,0.685903967668748,-45.64312837219117
hist_gradient_boosting,quantil_0.90,M1_com_vetor,8,avaliacao,102,196.62518861208238,0.718859778422854,-367.6853502469453
hist_gradient_boosting,quantil_0.90,M1_com_vetor,8,calibracao,186,40.556033410554484,0.5552305379849307,-98.8792963744467
