ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
993695;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.076;-51.216;0;0;0;;;;12
993696;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.071;-51.221;0;0;0;;;;12
993697;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.072;-51.223;0;0;0;;;;12
993698;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.070;-51.223;0;0;0;;;;12
993699;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.070;-51.229;0;0;0;;;;12
993700;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.073;-51.220;0;0;0;;;;12
993701;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.074;-51.222;0;0;0;;;;12
993702;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.076;-51.224;0;0;0;;;;12
993703;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.076;-51.227;0;0;0;;;;12
993704;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.080;-51.228;0;0;0;;;;12
993705;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.079;-51.231;0;0;0;;;;12
993706;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.080;-51.226;0;0;0;;;;12
993707;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.078;-51.225;0;0;0;;;;12
993708;SAO SEBASTIAO;2020;1;2019-12-29;2020-01-04;-30.005;-51.141;0;0;0;;;;12
993709;SAO SEBASTIAO;2020;1;2019-12-29;2020-01-04;-30.008;-51.143;0;0;0;;;;12
993710;SAO SEBASTIAO;2020;1;2019-12-29;2020-01-04;-30.005;-51.147;0;0;0;;;;12
993711;SAO SEBASTIAO;2020;1;2019-12-29;2020-01-04;-30.001;-51.146;0;0;0;;;;12
993712;SAO SEBASTIAO;2020;1;2019-12-29;2020-01-04;-30.003;-51.146;0;0;0;;;;12
993713;SAO SEBASTIAO;2020;1;2019-12-29;2020-01-04;-30.007;-51.146;0;0;0;;;;12
993714;SAO SEBASTIAO;2020;1;2019-12-29;2020-01-04;-29.999;-51.144;0;0;0;;;;12
993715;JARDIM LINDOIA;2020;1;2019-12-29;2020-01-04;-30.002;-51.149;0;0;0;;;;12
993716;JARDIM LINDOIA;2020;1;2019-12-29;2020-01-04;-29.999;-51.148;0;0;0;;;;12
993717;JARDIM LINDOIA;2020;1;2019-12-29;2020-01-04;-29.999;-51.151;1;0;5;;;;12
993718;JARDIM LINDOIA;2020;1;2019-12-29;2020-01-04;-30.001;-51.153;0;0;0;;;;12
993719;JARDIM LINDOIA;2020;1;2019-12-29;2020-01-04;-30.009;-51.151;0;0;0;;;;12
993720;JARDIM FLORESTA;2020;1;2019-12-29;2020-01-04;-29.998;-51.156;0;0;0;;;;12
993721;JARDIM LINDOIA;2020;1;2019-12-29;2020-01-04;-30.005;-51.150;1;0;0;;;;12
993722;JARDIM LINDOIA;2020;1;2019-12-29;2020-01-04;-30.006;-51.152;0;0;0;;;;12
993723;JARDIM LINDOIA;2020;1;2019-12-29;2020-01-04;-30.003;-51.152;0;0;0;;;;12
993724;JARDIM FLORESTA;2020;1;2019-12-29;2020-01-04;-30.000;-51.156;0;0;0;;;;12
993725;JARDIM FLORESTA;2020;1;2019-12-29;2020-01-04;-30.003;-51.156;0;0;0;;;;12
993726;CRISTO REDENTOR;2020;1;2019-12-29;2020-01-04;-30.008;-51.158;2;0;0;;;;12
