algoritmo,perda,conjunto,h,periodo,n,MAE_org,R2_org,vies_org,cap_org,n_n,MAE_novo,R2_novo,vies_novo,cap_novo,MAE_var_%,R2_var,cap_var_pp
hist_gradient_boosting,quantil_0.85,M1_com_vetor,8,avaliacao,102.0,178.34769275839315,0.7615653263461477,-359.28692052978096,0.6805142748132241,102.0,272.6266744147025,0.4502736906157241,-656.0896847503273,0.41659081713594714,52.86246219289681,-0.3112916357304236,-26.392345767727697
hist_gradient_boosting,quantil_0.85,M1_com_vetor,8,calibracao,186.0,40.064707095605236,0.5797335580231355,-128.00672044879394,0.7115146478662356,186.0,48.160521994104705,0.3566539273539987,-275.75540584381844,0.3785373527363688,20.206849083360723,-0.22307963066913683,-33.297729512986685
hist_gradient_boosting,quantil_0.85,M1_com_vetor,12,avaliacao,102.0,184.1987715847604,0.7417377192677149,-400.5657451475444,0.6360868416708388,102.0,278.6535782807,0.4366457899801719,-673.2081567466039,0.3883917696347942,51.278738660032566,-0.30509192928754303,-24.769507203604462
hist_gradient_boosting,quantil_0.85,M1_com_vetor,12,calibracao,182.0,39.8767506241985,0.6195033808762532,-191.05584806164342,0.5694225005371778,182.0,51.79904829001397,0.2725924178739969,-318.73568528200065,0.2816738364689428,29.89786649913404,-0.3469109630022563,-28.774866406823502
lightgbm,padrao,M1_com_vetor,1,avaliacao,102.0,174.216467272857,0.7127909118523456,-364.32200384887074,0.6979870441126402,102.0,174.216467272857,0.7127909118523456,-364.32200384887074,0.6979870441126402,0.0,0.0,0.0
lightgbm,padrao,M1_com_vetor,1,calibracao,193.0,29.53728880370686,0.7608511550045189,-79.33258621317356,0.8212102537339456,193.0,29.53728880370686,0.7608511550045189,-79.33258621317356,0.8212102537339456,0.0,0.0,0.0
lightgbm,padrao,M1_com_vetor,4,avaliacao,102.0,222.90468462602158,0.6097929417524177,-517.8084377723234,0.5755156869376976,102.0,258.022325981686,0.4858808195462708,-650.8284568521989,0.466469740012664,15.754555098105282,-0.12391212220614689,-10.90459469250336
lightgbm,padrao,M1_com_vetor,4,calibracao,190.0,38.118543258299056,0.6743664732664145,-140.64904046424215,0.6830229864233252,190.0,48.02969067675261,0.4453271450521784,-222.02628916415426,0.49962523851943974,26.000855676182553,-0.22903932821423612,-18.339774790388542
lightgbm,padrao,M1_com_vetor,8,avaliacao,102.0,204.00441199666858,0.6858781164879039,-497.86840102300687,0.5572846155549618,102.0,285.080421359439,0.3512236677870375,-729.5711918666452,0.3512494666791661,39.74228232088157,-0.33465444870086636,-20.603514887579564
lightgbm,padrao,M1_com_vetor,8,calibracao,186.0,41.140544562468605,0.5748140354230451,-180.79535143768604,0.592546309750099,186.0,51.809947195374136,0.314161377960425,-303.0669833850476,0.316985974522114,25.934033558318358,-0.2606526574626201,-27.5560335227985
lightgbm,padrao,M1_com_vetor,12,avaliacao,102.0,196.7599190449802,0.7076209176127964,-476.101318832198,0.5674629278220342,102.0,272.23859014713184,0.4359411694822646,-675.0674764877058,0.38670258146150455,38.3607959733389,-0.27167974813053186,-18.076034636052967
lightgbm,padrao,M1_com_vetor,12,calibracao,182.0,45.845734067703226,0.5112115575117492,-260.1939842357679,0.4136077160466782,182.0,58.603370525480045,0.14743640405819136,-361.9814869166962,0.1842119198668164,27.82731418137363,-0.3637751534535578,-22.939579617986176
