data_ini_se,SE,ano,semana_epi,casos,casos_est,casconf,p_inc100k,nivel,Rt,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,receptivo,transmissao,vetor_fonte,n_armadilhas,aegypti_total,aegypti_femea,aegypti_por_armadilha,imfa_femea,sem_sin,sem_cos,bloco
2020-08-30,202036,2020,36,0,0.0,,0.0,1,0.0,12.0,14.6644722857143,18.4285714285714,72.8806934285714,84.9242297142857,96.3853514285714,0,0,marilia,773.0,9.0,,0.01164294954721863,,-0.9350162426854147,-0.3546048870425359,1
2020-09-06,202037,2020,37,1,1.0,,0.06719292,1,8.538739,15.4285714285714,17.9098977142857,20.5714285714286,76.5723087142857,88.9587771428571,99.1263634285714,0,0,marilia,761.0,3.0,,0.003942181340341655,,-0.970941817426052,-0.23931566428755774,1
2020-09-13,202038,2020,38,2,2.0,,0.13438584,1,5.639281,13.4285714285714,17.4489065714286,21.4285714285714,64.999407,83.2678022857143,100.0,0,0,marilia,726.0,2.0,,0.0027548209366391185,,-0.992708874098054,-0.12053668025532357,1
2020-09-20,202039,2020,39,2,2.0,,0.13438584,1,2.0181584,9.42857142857143,17.4453784285714,23.4285714285714,44.3048847142857,68.5785585714286,98.1785471428571,0,0,marilia,800.0,5.0,,0.00625,,-1.0,-1.8369701987210297e-16,1
2020-09-27,202040,2020,40,0,0.0,,0.0,1,0.0,15.8571428571429,19.0574895714286,22.2857142857143,70.7022142857143,84.5419442857143,99.1392157142857,0,0,marilia,804.0,14.0,,0.017412935323383085,,-0.992708874098054,0.1205366802553232,1
2020-10-04,202041,2020,41,2,2.0,,0.13438584,1,1.3852345,14.0,17.9612510714286,21.4285714285714,61.8795427142857,77.4308127142857,95.6079305714286,0,0,marilia,734.0,9.0,,0.01226158038147139,,-0.9709418174260521,0.23931566428755738,1
2020-10-11,202042,2020,42,1,1.0,,0.06719292,1,0.8816106,12.1428571428571,19.3082168571429,24.7142857142857,47.0549047142857,71.7329512857143,96.4252011428571,0,0,marilia,735.0,22.0,,0.029931972789115645,,-0.9350162426854148,0.35460488704253557,1
2020-10-18,202043,2020,43,2,2.0,,0.13438584,1,1.5812569,17.2857142857143,23.2147527142857,28.1428571428571,52.8408085714286,73.8116894285714,95.7161614285714,1,0,marilia,734.0,19.0,,0.025885558583106268,,-0.8854560256532101,0.464723172043768,1
2020-10-25,202044,2020,44,1,1.0,,0.06719292,1,0.6993256,15.5714285714286,20.5115485714286,24.4285714285714,55.3548572857143,74.8171285714286,95.5638662857143,0,0,marilia,798.0,27.0,,0.03383458646616541,,-0.822983865893657,0.5680647467311548,1
2020-11-01,202045,2020,45,2,2.0,,0.13438584,1,1.3350595,12.0,19.1210317142857,24.1428571428571,46.3107672857143,69.0397574285714,95.4916671428571,0,0,marilia,798.0,29.0,,0.03634085213032581,,-0.7485107481711011,0.6631226582407953,1
2020-11-08,202046,2020,46,3,3.0,,0.20157877,1,1.8848298,19.7142857142857,23.6100787142857,28.0,58.496323,76.0362464285714,93.1841057142857,1,0,marilia,852.0,37.0,,0.04342723004694836,,-0.6631226582407956,0.7485107481711007,1
2020-11-15,202047,2020,47,1,1.0,,0.06719292,1,0.51748055,15.4285714285714,21.44958,25.2857142857143,48.9989122857143,69.5732962857143,98.4062857142857,0,0,marilia,852.0,42.0,,0.04929577464788732,,-0.5680647467311559,0.8229838658936564,1
2020-11-22,202048,2020,48,2,2.0,,0.13438584,1,0.955241,17.8333333333333,24.7842706666667,30.5,46.1018558333333,66.9711685,92.9205216666667,1,0,marilia,837.0,41.0,,0.04898446833930705,,-0.4647231720437684,0.88545602565321,1
2020-11-29,202049,2020,49,2,2.0,,0.13438584,1,1.0932183,18.4285714285714,,,,,,1,0,marilia,751.0,69.0,,0.09187749667110519,,-0.35460488704253595,0.9350162426854147,1
2020-12-06,202050,2020,50,0,0.0,,0.0,1,0.0,19.0238095238095,,,,,,0,0,marilia,750.0,65.0,,0.08666666666666667,,-0.2393156642875578,0.970941817426052,1
2020-12-13,202051,2020,51,0,0.0,,0.0,1,0.0,19.6190476190476,,,,,,0,0,marilia,741.0,135.0,,0.18218623481781376,,-0.12053668025532363,0.992708874098054,1
2020-12-20,202052,2020,52,1,1.0,,0.06719292,1,1.5366869,20.2142857142857,,,,,,1,0,marilia,737.0,236.0,,0.3202170963364993,,6.432490598706546e-16,1.0,1
2020-12-27,202053,2020,53,1,1.0,,0.06719292,1,2.4216263,20.8095238095238,,,,,,1,0,marilia,771.0,237.0,,0.30739299610894943,,0.12053668025532314,0.992708874098054,1
2021-01-03,202101,2021,1,1,1.0,,0.06719292,1,15.841878,21.4047619047619,,,,,,1,0,marilia,756.0,306.0,,0.40476190476190477,,0.12053668025532305,0.992708874098054,1
2021-01-10,202102,2021,2,2,2.0,,0.13438584,1,5.7106423,22.0,24.444445,26.5,61.499414,76.26522,88.664818,1,0,marilia,741.0,235.0,,0.31713900134952766,,0.23931566428755774,0.970941817426052,1
2021-01-17,202103,2021,3,1,1.0,,0.06719292,2,1.0673752,20.5,24.5588235,29.0,55.368531,75.342305,97.03126,1,0,marilia,752.0,242.0,,0.32180851063829785,,0.3546048870425356,0.9350162426854148,1
2021-01-24,202104,2021,4,2,2.0,,0.13438584,2,1.4390477,21.25,26.4232455,31.0,58.80565625,75.37199875,93.106855,1,0,marilia,760.0,218.0,,0.2868421052631579,,0.4647231720437685,0.8854560256532099,1
2021-01-31,202105,2021,5,1,1.0,,0.06719292,2,0.67805475,22.0,24.3105265,27.0,80.1643,92.282875,97.07432,1,0,marilia,751.0,227.0,,0.3022636484687084,,0.5680647467311558,0.8229838658936564,1
2021-02-07,202106,2021,6,1,1.0,,0.06719292,2,0.6904977,19.0,22.921053,25.5,65.5980385,75.981205,88.496117,1,0,marilia,789.0,560.0,,0.7097591888466414,,0.6631226582407952,0.7485107481711011,1
2021-02-14,202107,2021,7,2,2.0,,0.13438584,2,1.5434184,21.5,23.513158,26.0,68.278169,80.43929,94.21821,1,0,marilia,782.0,530.0,,0.6777493606138107,,0.7485107481711011,0.6631226582407953,1
2021-02-21,202108,2021,8,3,3.0,,0.20157877,2,2.143607,22.0,26.9473685,31.5,48.436935,66.050413,83.88851,1,0,marilia,750.0,432.0,,0.576,,0.8229838658936564,0.5680647467311558,1
2021-02-28,202109,2021,9,1,1.0,,0.06719292,2,0.531138,20.0,25.1611105,31.0,52.10841,74.97254,93.974265,1,0,marilia,788.0,474.0,,0.6015228426395939,,0.8854560256532098,0.4647231720437686,1
2021-03-07,202110,2021,10,2,2.0,,0.13438584,2,0.95720667,17.5,20.944445,24.0,63.851437,81.337252,100.0,1,0,marilia,786.0,354.0,,0.45038167938931295,,0.9350162426854148,0.35460488704253557,1
2021-03-14,202111,2021,11,2,2.0,,0.13438584,2,1.0932974,21.0,24.22171075,27.25,67.686547,80.21063175,92.915059,1,0,marilia,840.0,444.0,,0.5285714285714286,,0.970941817426052,0.23931566428755804,1
2021-03-21,202112,2021,12,2,2.0,,0.13438584,2,1.1094158,21.0,23.157894,25.0,78.49765,91.1644,100.0,1,0,marilia,840.0,407.0,,0.4845238095238095,,0.992708874098054,0.120536680255323,1
2021-03-28,202113,2021,13,3,3.0,,0.20157877,2,1.5035363,21.0,24.0,27.0,69.546265,85.193756,100.0,1,0,marilia,844.0,437.0,,0.5177725118483413,,1.0,-1.6081226496766366e-16,1
2021-04-04,202114,2021,14,10,10.0,,0.67192924,2,3.75874,17.5,23.9508775,29.5,46.998602,73.48311,100.0,1,1,marilia,845.0,566.0,,0.6698224852071006,,0.992708874098054,-0.12053668025532288,1
