data_inicio_semana_epidemi,precip_total_mm,precip_max_dia_mm,precip_media_dia_mm,dias_de_chuva,temp_media,temp_min,temp_max,temp_amplitude_media,orvalho_min,orvalho_media,orvalho_max,umid_min,umid_media,umid_max,pressao_min,pressao_media,pressao_max,radiacao_min,radiacao_media,radiacao_max,vento_media,vento_max
2017-07-09,3.5100000000000002,1.85,0.5014285714285714,1,17.732857142857142,13.25,25.28,8.942857142857143,15.08,15.794285714285715,16.58,81.33,88.79428571428572,96.08,100.85,101.56142857142856,101.89,3.28,9.414285714285715,12.53,3.124285714285714,4.57
2017-07-16,18.52,9.37,2.6457142857142855,2,10.062857142857142,0.43,22.21,12.200000000000003,0.85,6.375714285714286,13.02,69.86,79.1542857142857,85.6,101.02,101.90428571428572,102.55,2.97,11.568571428571428,14.5,3.4442857142857144,5.1
2017-07-23,0.23,0.08,0.032857142857142856,0,17.365714285714287,7.15,25.48,11.968571428571428,12.22,15.007142857142858,16.77,84.23,86.3157142857143,88.32,101.38,101.71000000000001,101.95,7.76,11.90857142857143,14.8,2.7557142857142862,3.58
2017-07-30,26.22,16.33,3.7457142857142856,2,16.225714285714286,7.37,24.77,9.817142857142857,10.05,13.524285714285712,15.59,81.33,84.76571428571428,90.62,101.04,101.56142857142856,102.11,4.05,11.887142857142857,15.58,3.4371428571428573,6.13
2017-08-06,25.46,11.89,3.6371428571428575,4,15.96142857142857,7.66,25.32,9.9,10.76,13.680000000000001,16.3,83.41,86.70857142857143,89.64,100.46,101.08285714285715,101.73,3.13,9.414285714285715,16.48,4.2214285714285715,6.12
2017-08-13,47.35,34.36,6.764285714285714,3,15.542857142857143,8.61,25.23,10.974285714285719,10.08,13.19714285714286,16.79,78.27,86.09428571428569,93.86,100.38,101.13,101.58,3.44,13.954285714285716,17.65,2.778571428571429,3.62
2017-08-20,12.12,12.07,1.7314285714285713,1,16.779999999999998,5.21,28.86,11.608571428571437,5.81,13.545714285714284,19.4,74.89,82.60285714285715,90.65,101.03,101.52142857142856,102.55,10.46,16.40285714285714,18.56,3.4071428571428575,5.65
2017-08-27,2.65,1.45,0.37857142857142856,1,19.641428571428573,12.48,30.46,10.211428571428568,12.07,16.795714285714286,21.25,80.41,84.49142857142859,91.46,100.73,101.34000000000002,101.98,5.3,12.088571428571427,18.19,3.2685714285714282,4.57
2017-09-03,5.2,4.84,0.7428571428571429,1,20.84857142857143,13.5,29.56,9.994285714285716,15.38,17.982857142857142,19.79,78.03,84.71142857142857,91.22,100.88,101.14999999999998,101.56,2.88,12.48857142857143,18.89,2.9657142857142857,4.84
2017-09-10,128.61,53.21,18.372857142857146,4,18.975714285714282,13.62,30.67,7.175714285714291,14.42,16.92857142857143,20.19,83.08,88.46142857142857,93.96,100.55,101.27857142857142,101.92,3.65,7.8985714285714295,13.91,3.994285714285714,4.89
2017-09-17,9.42,4.7,1.3457142857142856,3,19.357142857142854,11.52,30.2,10.544285714285712,13.28,16.658571428571427,19.99,80.2,85.14142857142858,88.83,101.01,101.46142857142857,101.87,11.21,16.10857142857143,22.14,2.8528571428571428,3.77
2017-09-24,18.67,12.3,2.6671428571428573,3,18.692857142857143,11.78,27.44,8.304285714285713,13.85,16.238571428571426,18.96,81.97,86.36000000000001,93.15,100.43,101.23285714285716,101.71,7.81,13.992857142857142,21.12,3.951428571428572,5.6
2017-10-01,30.89,20.54,4.412857142857143,3,18.73857142857143,11.87,28.29,10.679999999999998,11.13,15.151428571428571,18.58,73.75,80.89142857142858,89.74,99.6,100.71857142857142,101.72,6.35,19.685714285714283,25.45,4.284285714285714,5.99
2017-10-08,139.89,46.48,19.98428571428571,5,18.952857142857145,13.89,26.93,6.298571428571428,14.69,17.184285714285714,18.98,85.28,89.81999999999998,93.59,100.5,100.86,101.36,2.8,10.794285714285712,17.74,4.612857142857143,6.25
2017-10-15,47.78,21.7,6.825714285714286,3,20.228571428571428,11.08,30.73,10.705714285714286,11.86,17.177142857142858,21.96,76.38,83.73714285714286,91.29,100.37,100.97714285714287,101.76,6.2,18.481428571428573,27.84,3.3285714285714287,4.18
2017-10-22,21.06,14.76,3.0085714285714285,4,18.150000000000002,8.54,26.94,9.545714285714284,10.03,15.097142857142856,19.64,75.96,83.53714285714285,89.58,99.96,100.85285714285715,101.67,15.62,21.571428571428573,28.88,3.5700000000000003,5.67
2017-10-29,22.11,16.88,3.1585714285714284,2,19.584285714285716,10.39,27.03,10.409999999999998,11.41,16.08857142857143,19.17,71.21,81.65142857142857,91.69,100.34,100.80428571428571,101.43,11.25,22.064285714285713,30.18,3.8185714285714285,5.28
2017-11-05,26.620000000000005,11.49,3.8028571428571434,3,19.717142857142854,11.67,28.15,10.151428571428571,12.6,16.075714285714287,19.9,74.66,80.78285714285714,85.4,100.34,100.83000000000001,101.34,7.98,21.782857142857146,29.44,3.6285714285714286,5.28
2017-11-12,21.89,16.28,3.1271428571428572,3,20.54714285714286,11.94,31.13,12.111428571428572,13.72,16.345714285714287,18.91,73.36,78.54285714285713,83.3,100.25,100.54142857142858,100.92,13.22,25.83428571428572,30.93,3.3457142857142856,4.57
2017-11-19,50.9,39.51,7.271428571428571,2,18.528571428571432,9.47,28.18,12.26714285714286,11.2,14.094285714285714,17.11,69.82,77.39714285714285,87.76,100.65,100.82285714285715,101.04,6.65,25.115714285714287,32.34,3.847142857142857,6.51
2017-11-26,11.15,11.13,1.592857142857143,1,20.344285714285714,14.86,27.4,9.02714285714286,15.94,16.827142857142857,18.72,74.77,81.27428571428572,83.35,100.47,100.92142857142858,101.45,17.18,22.27857142857143,30.38,4.988571428571428,7.53
2017-12-03,38.62,28.73,5.517142857142857,4,22.565714285714282,15.79,28.64,9.108571428571423,17.08,19.452857142857145,21.49,75.1,83.69857142857143,88.07,100.27,100.58000000000001,101.17,11.68,21.96,32.43,3.5042857142857144,5.75
2017-12-10,1.36,0.69,0.1942857142857143,0,23.141428571428573,12.59,32.18,11.521428571428572,14.1,18.947142857142858,22.15,74.64,78.80428571428571,83.53,99.97,100.64714285714285,101.13,15.03,28.221428571428568,33.41,3.2571428571428567,4.22
