h,data,real,pred,variante
8,2020-09-27,0.0,0.0,atual
8,2020-10-11,0.0,0.0,atual
8,2020-10-25,0.0,0.0,atual
8,2020-11-08,0.0,2.6770697523443383,atual
8,2020-11-22,0.0,0.5455252871181908,atual
8,2020-12-06,0.0,0.0,atual
8,2020-12-20,0.0,4.775211494036019,atual
8,2021-01-03,0.0,5.593908782916746,atual
8,2021-01-17,0.0,2.902649808065856,atual
8,2021-01-31,1.0,5.661763794831899,atual
8,2021-02-14,12.0,16.22835938539513,atual
8,2021-02-28,8.0,23.933854591788613,atual
8,2021-03-14,9.0,9.805131713803645,atual
8,2021-03-28,0.0,16.395533733487206,atual
8,2021-04-11,1.0,24.056416577175362,atual
8,2021-04-25,0.0,17.569694512061567,atual
8,2021-05-09,1.0,5.202859690170746,atual
8,2021-05-23,1.0,0.0,atual
8,2021-06-06,0.0,0.0,atual
8,2021-06-20,0.0,0.0,atual
8,2021-07-04,0.0,0.30557769901904025,atual
8,2021-07-18,0.0,2.0673830060294267,atual
8,2021-08-01,0.0,0.44394692354159343,atual
8,2021-08-15,0.0,0.1480628460380668,atual
8,2021-08-29,0.0,0.0,atual
8,2021-09-12,0.0,0.0,atual
8,2021-09-26,0.0,0.0,atual
8,2021-10-10,1.0,0.2306572012924404,atual
8,2021-10-24,0.0,0.0,atual
8,2021-11-07,1.0,1.409534745481429,atual
8,2021-11-21,2.0,5.584181377191468,atual
8,2021-12-05,1.0,1.9318453276021292,atual
8,2021-12-19,9.0,0.0,atual
8,2022-01-02,51.0,6.760557406833387,atual
8,2022-01-16,269.0,24.05195888577432,atual
8,2022-01-30,482.0,55.161771366631065,atual
8,2022-02-13,753.0,83.87709985814438,atual
8,2022-02-27,569.0,290.27088054873656,atual
8,2022-03-13,223.0,124.82405852152907,atual
8,2022-03-27,122.0,216.74893533129782,atual
8,2022-04-10,61.0,17.615406047633883,atual
8,2022-04-24,26.0,22.36424533037665,atual
8,2022-05-08,14.0,20.907356115114215,atual
8,2022-05-22,13.0,22.19328186021842,atual
8,2022-06-05,11.0,31.997191861782287,atual
8,2022-06-19,3.0,26.61119721926634,atual
8,2022-07-03,1.0,0.0,atual
8,2022-07-17,0.0,7.815492905520581,atual
8,2022-07-31,0.0,67.93150262464503,atual
8,2022-08-14,0.0,0.0,atual
8,2022-08-28,0.0,0.0,atual
8,2022-09-11,6.0,17.31029081376861,atual
8,2022-09-25,7.0,10.214696968187612,atual
8,2022-10-09,10.0,3.5240011826088447,atual
8,2022-10-23,0.0,5.452162726743258,atual
8,2022-11-06,0.0,11.969062147974562,atual
