h,real,pred,conjunto
4,9.0,-2.294007462533523,M0_clima6
4,12.0,5.042359538805506,M0_clima6
4,39.0,13.445177199008183,M0_clima6
4,156.0,145.13339812988661,M0_clima6
4,558.0,196.6520324898606,M0_clima6
4,1227.0,332.4393756018244,M0_clima6
4,1109.0,949.5120715209713,M0_clima6
4,1849.0,510.99295930095866,M0_clima6
4,1855.0,699.2611178151265,M0_clima6
4,911.0,1638.24112973058,M0_clima6
4,646.0,1338.9575656186812,M0_clima6
4,199.0,-144.0952769515351,M0_clima6
4,277.0,75.10668158072674,M0_clima6
4,89.0,70.94446668929575,M0_clima6
4,10.0,32.06349495404519,M0_clima6
4,22.0,43.166339513248715,M0_clima6
4,16.0,10.595311795781537,M0_clima6
4,14.0,17.943251597398472,M0_clima6
4,7.0,4.675270976939081,M0_clima6
4,7.0,6.632471105870989,M0_clima6
4,6.0,9.016173723817744,M0_clima6
4,3.0,4.224299592509257,M0_clima6
4,1.0,7.158232676384448,M0_clima6
4,0.0,2.784013125353244,M0_clima6
4,4.0,2.1500828438772897,M0_clima6
4,1.0,1.3028841073208262,M0_clima6
4,19.0,2.4946427675488736,M0_clima6
4,32.0,7.059894008302757,M0_clima6
4,47.0,105.58982496449367,M0_clima6
4,161.0,211.86607020503837,M0_clima6
4,383.0,365.88553348314076,M0_clima6
4,917.0,1040.2281499487865,M0_clima6
4,1801.0,1246.0407340417073,M0_clima6
4,2184.0,888.7264380892759,M0_clima6
4,2229.0,1914.6756777209757,M0_clima6
4,2159.0,1295.293541987154,M0_clima6
4,1988.0,1622.351317418032,M0_clima6
4,579.0,1101.4264849224633,M0_clima6
4,105.0,497.91582879178117,M0_clima6
4,22.0,47.605909174712245,M0_clima6
4,7.0,25.504433917312912,M0_clima6
4,5.0,11.73140851311615,M0_clima6
4,11.0,5.099447958715366,M0_clima6
4,4.0,4.061026598196683,M0_clima6
4,6.0,6.32870650615143,M0_clima6
4,9.0,1.9947742930239156,M0_clima6
4,7.0,4.018820673097997,M0_clima6
4,4.0,3.895322666782212,M0_clima6
4,4.0,4.100367991957594,M0_clima6
4,5.0,2.7286293488594455,M0_clima6
4,3.0,5.748991692223461,M0_clima6
4,1.0,5.130261143741668,M0_clima6
4,0.0,4.692018921383838,M0_clima6
4,1.0,0.12964953782000102,M0_clima6
4,1.0,21.620679078950452,M0_clima6
8,0.0,35.65675685225327,M0_clima6
8,0.0,6.420417153065747,M0_clima6
8,0.0,7.356425833059508,M0_clima6
8,0.0,2.4999339665142855,M0_clima6
8,0.0,0.12313605345996756,M0_clima6
8,0.0,-0.034440944568067455,M0_clima6
8,0.0,0.08958178889486265,M0_clima6
8,0.0,-0.17981886057747878,M0_clima6
8,0.0,-0.04391423597640352,M0_clima6
8,0.0,-0.022145747908255208,M0_clima6
8,0.0,0.05356081344390571,M0_clima6
8,0.0,-0.1073876825318971,M0_clima6
8,0.0,-0.004095301547417414,M0_clima6
8,0.0,0.04729351418417093,M0_clima6
8,0.0,-0.30889917020051366,M0_clima6
8,0.0,0.2036253062159131,M0_clima6
8,0.0,-0.18455383720899232,M0_clima6
8,0.0,1.4314696351601937,M0_clima6
8,0.0,0.19221818513344244,M0_clima6
8,0.0,0.6023921343490737,M0_clima6
8,0.0,1.989975392900956,M0_clima6
8,0.0,4.393688931945112,M0_clima6
8,0.0,0.3192385858514014,M0_clima6
8,1.0,12.635611000252098,M0_clima6
8,12.0,9.172758039431452,M0_clima6
8,8.0,8.441134154522958,M0_clima6
8,9.0,0.7523018576442753,M0_clima6
8,0.0,15.130243276437225,M0_clima6
8,1.0,30.092212630563807,M0_clima6
8,0.0,15.60572276813682,M0_clima6
8,1.0,-1.001679350952921,M0_clima6
8,1.0,0.5291718298123494,M0_clima6
8,0.0,0.522410687696199,M0_clima6
8,0.0,0.0316517759982347,M0_clima6
8,0.0,0.2640150103792862,M0_clima6
8,0.0,0.12620154029779246,M0_clima6
8,0.0,0.03323102446448233,M0_clima6
8,0.0,-0.01780040088085168,M0_clima6
8,0.0,0.018780239823231393,M0_clima6
8,0.0,0.17176725486963076,M0_clima6
8,0.0,0.07923661137132261,M0_clima6
8,1.0,0.09000710120000426,M0_clima6
8,0.0,0.059122002609708936,M0_clima6
8,1.0,0.5744979764625544,M0_clima6
8,2.0,-0.2492129824518392,M0_clima6
8,1.0,1.7596177688543408,M0_clima6
8,9.0,0.02476572867316321,M0_clima6
8,51.0,3.515921596797293,M0_clima6
8,269.0,31.03117077303403,M0_clima6
8,482.0,96.44039953760513,M0_clima6
8,753.0,125.53080025707516,M0_clima6
8,569.0,136.11558818419635,M0_clima6
8,223.0,253.181546951947,M0_clima6
8,122.0,86.25569818156202,M0_clima6
8,61.0,81.67426856240449,M0_clima6
8,26.0,45.2615611616117,M0_clima6
8,14.0,44.9946110681183,M0_clima6
8,13.0,-19.45799862753435,M0_clima6
8,11.0,15.985224755935711,M0_clima6
8,3.0,5.617633699159252,M0_clima6
8,1.0,0.5467813859962598,M0_clima6
8,0.0,0.23869678130102195,M0_clima6
8,0.0,17.039982723282282,M0_clima6
8,0.0,0.16219380317899543,M0_clima6
8,0.0,0.4048456117412502,M0_clima6
8,6.0,0.16395258584413647,M0_clima6
8,7.0,2.3890417194708404,M0_clima6
8,10.0,3.5552347620651137,M0_clima6
8,0.0,0.6849014697846993,M0_clima6
8,0.0,9.229342191257276,M0_clima6
8,2.0,8.593182345106941,M0_clima6
8,2.0,5.214333060408279,M0_clima6
8,10.0,14.076030922855988,M0_clima6
8,27.0,262.8238615810336,M0_clima6
8,93.0,-6.640820232091665,M0_clima6
8,250.0,112.32799366215473,M0_clima6
8,541.0,730.3863488836254,M0_clima6
8,581.0,411.0191565866234,M0_clima6
8,762.0,141.1802402639835,M0_clima6
8,473.0,206.91947010821994,M0_clima6
8,225.0,488.48244944309556,M0_clima6
8,66.0,62.97827736157713,M0_clima6
8,74.0,25.872911476620377,M0_clima6
8,32.0,35.77686379010375,M0_clima6
8,15.0,59.563249805790406,M0_clima6
8,13.0,5.2127577637510445,M0_clima6
8,9.0,4.075583767172836,M0_clima6
8,9.0,2.6207407241664633,M0_clima6
8,0.0,1.6497230149642699,M0_clima6
8,5.0,1.1374448764902179,M0_clima6
8,3.0,1.669803280108752,M0_clima6
8,6.0,3.619686360939561,M0_clima6
8,3.0,4.76095518417472,M0_clima6
8,7.0,3.9861344926768076,M0_clima6
8,3.0,2.5151351004129547,M0_clima6
8,9.0,1.6910487713338163,M0_clima6
8,12.0,3.045458346743142,M0_clima6
8,39.0,41.76724739544728,M0_clima6
8,156.0,11.342052798890462,M0_clima6
8,558.0,109.18340748050728,M0_clima6
8,1227.0,357.3772554959464,M0_clima6
8,1109.0,756.6648737614328,M0_clima6
8,1849.0,1373.8901867347747,M0_clima6
8,1855.0,784.8526237754952,M0_clima6
8,911.0,195.7845602756787,M0_clima6
8,646.0,273.5154440572418,M0_clima6
8,199.0,466.1215474002083,M0_clima6
8,277.0,284.1399530643304,M0_clima6
8,89.0,67.77168466228422,M0_clima6
8,10.0,26.234304253277756,M0_clima6
8,22.0,-12.864697600602788,M0_clima6
8,16.0,26.366431658137046,M0_clima6
8,14.0,85.28318439633898,M0_clima6
8,7.0,7.341499588799284,M0_clima6
8,7.0,2.54261680056241,M0_clima6
8,6.0,3.154420093889522,M0_clima6
8,3.0,2.7490518110805393,M0_clima6
8,1.0,1.9821955024163074,M0_clima6
8,0.0,2.398608531062292,M0_clima6
8,4.0,4.55304472081179,M0_clima6
8,1.0,0.883482126291626,M0_clima6
8,19.0,3.8877078473406237,M0_clima6
8,32.0,23.224012225292572,M0_clima6
8,47.0,2.4641152177499257,M0_clima6
8,161.0,56.26495064332921,M0_clima6
8,383.0,759.8171911718958,M0_clima6
8,917.0,662.250103559364,M0_clima6
8,1801.0,1341.7800517349501,M0_clima6
