h,data,real,pred,maximo_visto_no_treino,variante
1,2025-11-16,2.0,2.5952089065176387,2381.0,log1p
1,2025-11-30,2.0,2.9469991042517627,2381.0,log1p
1,2025-12-14,1.0,2.4879471643589763,2381.0,log1p
1,2025-12-28,2.0,3.2522869467623887,2381.0,log1p
1,2026-01-11,1.0,4.124634929984163,2381.0,log1p
1,2026-01-25,1.0,1.34190088778011,2381.0,log1p
4,2020-03-15,3.0,9.934683367997783,64.0,log1p
4,2020-03-29,0.0,0.8892619936809234,64.0,log1p
4,2020-04-12,0.0,0.2214171271009641,64.0,log1p
4,2020-04-26,0.0,1.1694246478674073,64.0,log1p
4,2020-05-10,0.0,-0.022572739000026907,64.0,log1p
4,2020-05-24,0.0,-0.0067632621959140896,64.0,log1p
4,2020-06-07,0.0,-0.008715377044618956,64.0,log1p
4,2020-06-21,0.0,0.06263318232080564,64.0,log1p
4,2020-07-05,0.0,0.04900110187343873,64.0,log1p
4,2020-07-19,0.0,0.01878721347177701,64.0,log1p
4,2020-08-02,0.0,0.02504736587175284,64.0,log1p
4,2020-08-16,0.0,0.11834648324190343,64.0,log1p
4,2020-08-30,0.0,0.2035376021454426,64.0,log1p
4,2020-09-13,0.0,-0.021097574110163726,64.0,log1p
4,2020-09-27,0.0,0.7359545489164424,64.0,log1p
4,2020-10-11,0.0,-0.022914845146108455,64.0,log1p
4,2020-10-25,0.0,-0.02386113024872912,64.0,log1p
4,2020-11-08,0.0,0.33962943374724874,64.0,log1p
4,2020-11-22,0.0,0.6819687917621368,64.0,log1p
4,2020-12-06,0.0,0.10015685002517084,64.0,log1p
4,2020-12-20,0.0,1.553956600451335,64.0,log1p
4,2021-01-03,0.0,0.46506006776535724,64.0,log1p
4,2021-01-17,0.0,0.009184172809501482,64.0,log1p
4,2021-01-31,0.0,2.075165333192165,64.0,log1p
4,2021-02-14,0.0,1.3285452391293968,64.0,log1p
4,2021-02-28,1.0,0.16776311121159385,64.0,log1p
4,2021-03-14,12.0,0.9448450798758288,64.0,log1p
4,2021-03-28,8.0,1.2543254270929949,64.0,log1p
4,2021-04-11,9.0,21.80130649057935,64.0,log1p
4,2021-04-25,0.0,5.8660229465433,64.0,log1p
4,2021-05-09,1.0,1.2605481770725238,64.0,log1p
4,2021-05-23,0.0,-0.05797996966663547,64.0,log1p
4,2021-06-06,1.0,0.44473661997358166,64.0,log1p
4,2021-06-20,1.0,0.056084788850287115,64.0,log1p
4,2021-07-04,0.0,0.4760026643869079,64.0,log1p
4,2021-07-18,0.0,0.12161955816955347,64.0,log1p
4,2021-08-01,0.0,-0.05355742127402168,64.0,log1p
4,2021-08-15,0.0,0.013469458839577592,64.0,log1p
4,2021-08-29,0.0,0.057175826771570376,64.0,log1p
4,2021-09-12,0.0,0.0057633956131331165,64.0,log1p
